version,time,type,id,state,edges,number,begin,end,depart,time2,id3,id4,type5,depart6,route,distance,speedFactor,state7,pos,speed,posLat,waitingTime,id8,value
1.8.0,100,micro,!197,0,167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!199,0,506695204#1 506695197#0 506695197#1 489945116#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!200,0,506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!202,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!24,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!31,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!32,0,565242144#2 565242144#3 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!34,0,489945116#1 489945116#2 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!36,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!37,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!38,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!40,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!41,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!43,0,gneE1 746397613#1 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!47,0,216650113 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!48,0,gneE1 746397613#1 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!49,0,gneE0 gneE1 746397613#1 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!5,0,489945116#0 489945116#1 489945116#2 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!53,0,216650113 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!55,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!56,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!57,0,565242144#2 565242144#3 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!59,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!60,0,506695204#1 506695197#0 506695197#1 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!61,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!64,0,565242144#2 565242144#3 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!66,0,565242144#2 565242144#3 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!67,0,216650113 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!68,0,216650113 565242144#3 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!69,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!70,0,506695197#0 506695197#1 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!72,0,506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!73,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!74,0,489945116#0 506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!77,0,489945116#0 506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!79,0,489945116#0 506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!8,0,489945116#0 489945116#1 489945116#2 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!82,0,565242144#2 -216650113,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!83,0,489945116#0 506695195,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!84,0,489945116#0 506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!85,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!87,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!88,0,216650113 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!91,0,gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!92,0,506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!93,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!94,0,489945116#0 489945116#1 489945116#2 489945116#3 489945116#4 489945116#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!95,0,506695195 167533249#1,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!99,0,gneE1 746397613#1 565242144#4 565242144#5,76,277,46,535,1621,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,100,DEFAULT_VEHTYPE,100,!100,0 0,1.02,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,100.1,DEFAULT_VEHTYPE,100,!100,0 0,1,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,101,DEFAULT_VEHTYPE,101,!101,0 0,0.95,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,101.1,DEFAULT_VEHTYPE,101,!101,0 0,1.11,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,102,DEFAULT_VEHTYPE,102,!102,0 0,1.16,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,102.1,DEFAULT_VEHTYPE,102,!102,0 0,0.94,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,108,DEFAULT_VEHTYPE,108,!108,0 0,1.13,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,108.1,DEFAULT_VEHTYPE,108,!108,0 0,0.73,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,109,DEFAULT_VEHTYPE,109,!109,0 0,1.14,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,109.1,DEFAULT_VEHTYPE,109,!109,0 0,0.89,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,110,DEFAULT_VEHTYPE,110,!110,0 0,1,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,110.1,DEFAULT_VEHTYPE,110,!110,0 0,0.97,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,111,DEFAULT_VEHTYPE,111,!111,0 0,1.04,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,111.1,DEFAULT_VEHTYPE,111,!111,0 0,0.96,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,112,DEFAULT_VEHTYPE,112,!112,0 0,1,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,112.1,DEFAULT_VEHTYPE,112,!112,0 0,1.07,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,113,DEFAULT_VEHTYPE,113,!113,0 0,0.93,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,113.1,DEFAULT_VEHTYPE,113,!113,0 0,1.06,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,115,DEFAULT_VEHTYPE,115,!115,0 0,1.12,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,115.1,DEFAULT_VEHTYPE,115,!115,0 0,1.18,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,117,DEFAULT_VEHTYPE,117,!117,0 0,1.08,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,117.1,DEFAULT_VEHTYPE,117,!117,0 0,0.91,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,118,DEFAULT_VEHTYPE,118,!118,0 0,1.14,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,118.1,DEFAULT_VEHTYPE,118,!118,0 0,0.88,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,121,DEFAULT_VEHTYPE,121,!121,0 0,1.08,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,121.1,DEFAULT_VEHTYPE,121,!121,0 0,0.99,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
1.8.0,100,micro,,,,76,277,46,535,1621,DEFAULT_VEHTYPE,123,DEFAULT_VEHTYPE,123,!123,0 0,1.13,0 9223372036854775807 0 -1.00 0 0.00 0 0 0,0.00 0.00 0.00,0.00 0.00,0,100000 0,,
